user,place,total,last_point_datetime,day1_done,day2_done,day3_done,day4_done,day5_done,helping_day1,helping_day2,helping_day3,helping_day4,helping_day5,done_extra,friends_points
UCTBF09L7,71,100.0,1567458661.0,100.0,,,,,0,0,0,0,0,0,0
UG2DWKJ4R,72,100.0,1567458483.0,100.0,,,,,0,0,0,0,0,0,0
UMLTAGSAV,73,100.0,1567458412.0,100.0,,,,,0,0,0,0,0,0,0
UH20U2TRQ,74,100.0,1567458328.0,100.0,,,,,0,0,0,0,0,0,0
UG3QE3YBD,75,100.0,1567458295.0,100.0,,,,,0,0,0,0,0,0,0
UH0V3KNUC,76,100.0,1567458243.0,100.0,,,,,0,0,0,0,0,0,0
UM4B97SJJ,77,100.0,1567458209.0,100.0,,,,,0,0,0,0,0,0,0
UH0CVV2AW,78,100.0,1567458028.0,100.0,,,,,0,0,0,0,0,0,0
UJRNYQKD4,79,100.0,1567457892.0,100.0,,,,,0,0,0,0,0,0,0
UMY6Y2GAZ,80,100.0,1567457890.0,100.0,,,,,0,0,0,0,0,0,0
UG33P6FQQ,81,100.0,1567457873.0,100.0,,,,,0,0,0,0,0,0,0
UHRUZJLH2,82,100.0,1567457810.0,100.0,,,,,0,0,0,0,0,0,0
UH2QNE8J2,83,100.0,1567457691.0,100.0,,,,,0,0,0,0,0,0,0
UG4RHP206,84,100.0,1567457681.0,100.0,,,,,0,0,0,0,0,0,0
UK8QURR0D,85,100.0,1567457638.0,100.0,,,,,0,0,0,0,0,0,0
UH63VKWE9,86,100.0,1567457431.0,100.0,,,,,0,0,0,0,0,0,0
UG1RXTQAF,87,100.0,1567457198.0,100.0,,,,,0,0,0,0,0,0,0
UH29S9761,88,100.0,1567456958.0,100.0,,,,,0,0,0,0,0,0,0
UH2VATXN2,89,100.0,1567456768.0,100.0,,,,,0,0,0,0,0,0,0
UML73Q3Q9,90,100.0,1567456647.0,100.0,,,,,0,0,0,0,0,0,0
UG2EW0WV7,91,100.0,1567456492.0,100.0,,,,,0,0,0,0,0,0,0
UMLFPFVR9,92,100.0,1567456455.0,100.0,,,,,0,0,0,0,0,0,0
UG1PCQ80H,93,100.0,1567456445.0,100.0,,,,,0,0,0,0,0,0,0
UH0735BM1,94,100.0,1567456399.0,100.0,,,,,0,0,0,0,0,0,0
UH231VBCL,95,100.0,1567456316.0,100.0,,,,,0,0,0,0,0,0,0
UG55A4J07,96,100.0,1567456231.0,100.0,,,,,0,0,0,0,0,0,0
UH26F8P9C,97,100.0,1567456007.0,100.0,,,,,0,0,0,0,0,0,0
UDR34LKCK,98,100.0,1567455956.0,100.0,,,,,0,0,0,0,0,0,0
UDBM9R2EB,99,100.0,1567455950.0,100.0,,,,,0,0,0,0,0,0,0
UMJAZK4RY,100,100.0,1567455920.0,100.0,,,,,0,0,0,0,0,0,0
UH2DLUUHM,101,100.0,1567455904.0,100.0,,,,,0,0,0,0,0,0,0
UMVAHKU3W,102,100.0,1567455903.0,100.0,,,,,0,0,0,0,0,0,0
UHNUNAX6U,103,100.0,1567455898.0,100.0,,,,,0,0,0,0,0,0,0
UMWRFHN4C,104,100.0,1567455839.0,100.0,,,,,0,0,0,0,0,0,0
UG3HGPXQD,105,100.0,1567455727.0,100.0,,,,,0,0,0,0,0,0,0
UHN4X62U8,106,100.0,1567455517.0,100.0,,,,,0,0,0,0,0,0,0
UG2A105MH,107,100.0,1567455438.0,100.0,,,,,0,0,0,0,0,0,0
UDCDY3LTA,108,100.0,1567455423.0,100.0,,,,,0,0,0,0,0,0,0
UGZ5UL4U8,109,100.0,1567455371.0,100.0,,,,,0,0,0,0,0,0,0
UG5E34JA2,110,100.0,1567455296.0,100.0,,,,,0,0,0,0,0,0,0
UG2TFLT7W,111,100.0,1567455170.0,100.0,,,,,0,0,0,0,0,0,0
UMWSF8YE9,112,100.0,1567455074.0,100.0,,,,,0,0,0,0,0,0,0
UG2U182KE,113,100.0,1567454910.0,100.0,,,,,0,0,0,0,0,0,0
UMZ28S4FQ,114,100.0,1567454676.0,100.0,,,,,0,0,0,0,0,0,0
